scheduler,staff,intensity,avg_rt,fairness
DynamicScheduler,1,0.5,3.3817491692595714,
FIFOScheduler,1,0.5,2.7152742159334657,
DynamicScheduler,1,1.0,25.113199987191933,
FIFOScheduler,1,1.0,53.8560416846231,
DynamicScheduler,1,1.5,57.94284206463677,
FIFOScheduler,1,1.5,140.26263105828153,
DynamicScheduler,2,0.5,2.758623325686309,5.656854249492381
FIFOScheduler,2,0.5,1.7200353471930954,0.0
DynamicScheduler,2,1.0,6.983815127167042,17.67766952966369
FIFOScheduler,2,1.0,4.249912536030536,0.0
DynamicScheduler,2,1.5,27.661077707231364,16.263455967290593
FIFOScheduler,2,1.5,58.35817279902641,0.7071067811865476
DynamicScheduler,3,0.5,1.0469515945919594,17.09775813764288
FIFOScheduler,3,0.5,0.5926481019481303,0.0
DynamicScheduler,3,1.0,1.849101875344032,12.342339054382412
FIFOScheduler,3,1.0,0.7511244857182461,0.0
DynamicScheduler,3,1.5,16.817089584788334,11.372481406154654
FIFOScheduler,3,1.5,3.1516131559570164,0.5773502691896257
